3.195802418065009196e-07,4.831323378869211149e-01,4.612951343948983873e-01,2.488167698135188566e-01,2.655734232652955475e-04,6.639824135913908479e-11,6.391390345012226736e-04,-2.524931483223622690e-04,-4.182412209061717959e-04,-9.268449552092917554e-05,1.241470065597627317e-04,1.328236884778386340e-07
1.279445004964635188e-02,4.780564242369331196e-01,4.529131896029449100e-01,2.469556856811566115e-01,2.761876064772529268e-03,2.850952978990711545e-05,1.261445725849840160e-01,-5.026188270499080957e-02,-8.273933257500747096e-02,-1.840689358853592542e-02,2.472409266021776547e-02,5.394436233324595605e-04
4.955629215952832983e-02,4.632180676825061738e-01,4.287145963347722688e-01,2.415408060299567561e-01,1.006624240349555943e-02,4.141305549835943125e-04,2.381451818717858493e-01,-9.741176938017120923e-02,-1.573436388527982843e-01,-3.541897497916372123e-02,4.798925794206014561e-02,4.039943398287126203e-03
1.063479367625961985e-01,4.394564865512731733e-01,3.909492651498415738e-01,2.329544829231948722e-01,2.178926768021886839e-02,2.012696098117116444e-03,3.246205622540388469e-01,-1.390854515010534198e-01,-2.173657626815731769e-01,-4.993476695407507437e-02,6.872896795300485751e-02,1.303645092965731792e-02
1.770759092763139197e-01,4.080939554486251453e-01,3.430977786382807260e-01,2.217999696381670605e-01,3.732743396595799429e-02,6.115088197896594371e-03,3.762264556917593872e-01,-1.731007951362494857e-01,-2.574732936172949849e-01,-6.095369883437493086e-02,8.601094234871750621e-02,2.929038954744278556e-02
2.541299802298996879e-01,3.708314568031308434e-01,2.895059088152612814e-01,2.088548035950524018e-01,5.592454556565906731e-02,1.426344015623780444e-02,3.872738641237696844e-01,-1.978765012106422083e-01,-2.744223770482210334e-01,-6.774441812909119676e-02,9.925294049638708205e-02,5.351649176779856715e-02
3.291808362607495653e-01,3.296163608851699900e-01,2.349297001153492770e-01,1.950112651653394813e-01,7.674764092365862767e-02,2.802433181497536452e-02,3.563244726374785731e-01,-2.125434514130510322e-01,-2.673883513670500811e-01,-6.989749954226220918e-02,1.082744590380086969e-01,8.523037064687644104e-02
3.940529029376167447e-01,2.864941844518323899e-01,1.840401063297447126e-01,1.812089621916624649e-01,9.896869869717252188e-02,4.874528055721392278e-02,2.863401313201957010e-01,-2.169914598203902256e-01,-2.380359021938752984e-01,-6.735096025565177891e-02,1.133023700619728569e-01,1.227358208877491613e-01
4.415807878615535809e-01,2.434577989706801782e-01,1.409405089534318256e-01,1.683652038739129331e-01,1.218427395049193479e-01,7.732309600074563360e-02,1.843711101731498325e-01,-2.118479980190854373e-01,-1.903212919841831552e-01,-6.038676355505572663e-02,1.149295223243265995e-01,1.632554210608485601e-01
4.663596266304292914e-01,2.023074919857026643e-01,1.087490270829622602e-01,1.573089311816230074e-01,1.447732597136324739e-01,1.140117985708938436e-01,6.081638624319134906e-02,-1.983919943019746834e-01,-1.300481543410489937e-01,-4.959909810450820189e-02,1.140306075865139823e-01,2.031922529178273040e-01
4.653108669721672253e-01,1.645340361373558713e-01,8.929050382507339179e-02,1.487235589020363125e-01,1.673572910296880767e-01,1.582938782989218585e-01,-7.166577900923645772e-02,-1.784119841637644144e-01,-6.422497904294272031e-02,-3.583772995131806471e-02,1.116444458749439039e-01,2.384960262923180307e-01
4.380045229703518617e-01,1.312345229694702187e-01,8.293117396154207899e-02,1.431031995735193574e-01,1.894046198126603242e-01,2.088320958777000746e-01,-1.994820089526394835e-01,-1.540231006448316842e-01,-2.938845601289778210e-04,-2.013190571804554518e-02,1.088357372567082398e-01,2.650951626189372301e-01
3.867046077456716136e-01,1.030674190447670446e-01,8.857355900839872231e-02,1.407254683526030226e-01,2.109285862138998158e-01,2.635104947999032388e-01,-3.095232214907549517e-01,-1.274611302079144137e-01,5.468573929420431079e-02,-3.601937636533731908e-03,1.065518333544094587e-01,2.793487166865895044e-01
3.161335944651777474e-01,8.024943353282727732e-02,1.038117625432965763e-01,1.416425321103430279e-01,2.321091066645189216e-01,3.195637058490806703e-01,-3.905299724770532888e-01,-1.008737651033336374e-01,9.481015166005812844e-02,1.263342555133869713e-02,1.054909151461806277e-01,2.784692452228097470e-01
2.329812841326434902e-01,6.259273613869688335e-02,1.252299231433705584e-01,1.456904111462891949e-01,2.532317755899388678e-01,3.737840050143056425e-01,-4.342603877044859950e-01,-7.612908539597805502e-02,1.159767449947377016e-01,2.754552782046992832e-02,1.059970174249195846e-01,2.608701828603372519e-01
1.452102587158660973e-01,4.957723289336560257e-02,1.488110044664231746e-01,1.525149229460208422e-01,2.746097526550516643e-01,4.227869634885166317e-01,-4.363384147272483804e-01,-5.465923438295889475e-02,1.163317393428467406e-01,4.027248637669134795e-02,1.079946966678314441e-01,2.263987267228382005e-01
6.123134612783143887e-02,4.044936949204555598e-02,1.704110473727110109e-01,1.616112244432919565e-01,2.964973143474496364e-01,4.633098333819133385e-01,-3.966940718145763878e-01,-3.735343935403302729e-02,9.647100141449800603e-02,5.017755317678192911e-02,1.109720616041042496e-01,1.764268949732263891e-01
-1.096401405411816590e-02,3.433659835389180764e-02,1.862467868924519987e-01,1.723727931011472259e-01,3.190051960799340502e-01,4.925127747919363363e-01,-3.195505830491547905e-01,-2.450937799899812614e-02,5.937152217864587189e-02,5.688455018492717674e-02,1.140157927890143169e-01,1.137880958955662519e-01
-6.462334608837415340e-02,3.036543279153307642e-02,1.933429391186373414e-01,1.841449871235894264e-01,3.420280216810342999e-01,5.082521005388237478e-01,-2.129611856343779086e-01,-1.584593252765867377e-02,1.006020112453161197e-02,6.028803515733151264e-02,1.158961987745755068e-01,4.256268310559868651e-02
-9.491885455018933548e-02,2.777102081719014584e-02,1.898896778624386550e-01,1.962780999023536199e-01,3.651931721648551954e-01,5.092970189685943616e-01,-8.794590686142687852e-02,-1.057421746636398249e-02,-4.494493289957945253e-02,6.053829985695233229e-02,1.151948780786337806e-01,-3.226812070821477585e-02
-9.942788141878097785e-02,2.598737927100149350e-02,1.754704110220090818e-01,2.081750861378082185e-01,3.878384638063795964e-01,4.954666763468255630e-01,4.267929045933699372e-02,-7.518034647512599790e-03,-9.836115272563554501e-02,5.800369343841852571e-02,1.104627591504676459e-01,-1.052665556750741194e-01
-7.835860485113205209e-02,2.470969296295799644e-02,1.511339152131691566e-01,2.193298529820399134e-01,4.090231761625995888e-01,4.676721026956078830e-01,1.656563497246700545e-01,-5.270170969835744068e-03,-1.429568000800694738e-01,5.321487228553427318e-02,1.003926899162567860e-01,-1.710369408765553267e-01
-3.449855197497628950e-02,2.392315598026364259e-02,1.193017054548418110e-01,2.293531020260943243e-01,4.275735749216847958e-01,4.278571487573350485e-01,2.686783120855728568e-01,-2.367673563717694312e-03,-1.723680458998579912e-01,4.679720488887133267e-02,8.398873884481836138e-02,-2.247285363556863480e-01
