6.326879957738731919e-07,2.315713905583520471e-01,2.622294742287744063e-01,1.977203492156410780e-01,4.113465432132859729e-04,6.560713197769658667e-01,4.654674380031728620e-01,6.910746991088674296e-01,2.820160600082317615e-01,4.163687022509524049e-01,7.682803457006073811e-02,3.210978408903380192e-07,1.265333294747104757e-03,3.532069342800420631e-04,-8.701719615941997613e-05,4.967491063501971462e-05,9.044314932766349532e-04,-1.411636711666990063e-03,-6.175291451905310551e-04,-1.188814284721852925e-03,5.352769904523334331e-04,-6.563892478632101608e-04,2.112888300952268635e-04,6.421741321156424495e-04
2.514457251500361659e-02,2.385273794390599111e-01,2.605284369134002187e-01,1.987197184457424326e-01,1.843209212886000314e-02,6.278944362063343387e-01,4.532133771817778989e-01,6.674261073531243538e-01,2.926141077812014490e-01,4.033011457091132956e-01,8.110143857286353231e-02,1.285695580358555898e-02,2.460968659283391813e-01,6.747780700516188557e-02,-1.636497283144615691e-02,9.907449457969326120e-03,1.768444057256218227e-01,-2.770056366381112856e-01,-1.197819392637236857e-01,-2.317187431754658966e-01,1.033274299843880417e-01,-1.281291596276603051e-01,4.256872044745990680e-02,1.267777729874677295e-01
9.538780972475811859e-02,2.573371491853037596e-01,2.561126322770060915e-01,2.016687418540326349e-01,6.925574697186893947e-02,5.478725960291195296e-01,4.191078411530145820e-01,6.010440159155331363e-01,3.217125011487388386e-01,3.665657591609201016e-01,9.387938985280526449e-02,4.981558477696459986e-02,4.456482913414316904e-01,1.166329827330583879e-01,-2.624988846693582234e-02,1.958541238182574459e-02,3.245303333486494468e-01,-5.136628054363621132e-01,-2.160436927773959070e-01,-4.228868911712454493e-01,1.817346921857571351e-01,-2.340062441139373339e-01,8.523268906592697258e-02,2.394851209092312694e-01
1.983172222178838373e-01,2.835050109634013049e-01,2.507920372883316595e-01,2.065991026624226512e-01,1.448185256841616197e-01,4.272926944246894232e-01,3.691356372583314283e-01,5.025828089089535711e-01,3.623479809208873803e-01,3.122798054831892878e-01,1.151624970612662169e-01,1.069264451765479379e-01,5.694556934390890834e-01,1.410515650747046212e-01,-2.476069428906206918e-02,2.997705583967173043e-02,4.210725640088172073e-01,-6.775549414196866405e-01,-2.775841729952638892e-01,-5.499247208257391772e-01,2.159845345382035431e-01,-3.013782824014608619e-01,1.273484395207478692e-01,3.263129595099801272e-01
3.172852959764976832e-01,3.124239220008623863e-01,2.471400527724276763e-01,2.138360366372873411e-01,2.333239001179246430e-01,2.834148412927067762e-01,3.104082673625627176e-01,3.858451745065936689e-01,4.043679747787827239e-01,2.492261436217097503e-01,1.446344909861886630e-01,1.778536679965231626e-01,6.053526225895028423e-01,1.455838088550024112e-01,-9.401846793080877174e-03,4.300689151050816894e-02,4.524795709477728023e-01,-7.431870861094818093e-01,-3.042384213209131105e-01,-6.057033420359194675e-01,1.944774162461163358e-01,-3.207964013218903010e-01,1.666464968588070028e-01,3.757802905735803667e-01
4.347256975773068910e-01,3.410546570864185778e-01,2.479134218629072128e-01,2.241028885356863565e-01,3.212244989544472129e-01,1.376138715810604207e-01,2.493952599780522028e-01,2.647016341918665416e-01,4.363306395040634778e-01,1.872526095048332451e-01,1.814282187128580803e-01,2.540163705605643085e-01,5.554695824808647542e-01,1.397551192278451426e-01,1.907072756351098353e-02,6.049157073015823394e-02,4.153739962581624034e-01,-6.951199433616239709e-01,-3.015213543432654908e-01,-5.955698133994902221e-01,1.161918803083524798e-01,-2.910319777963553678e-01,2.000139346497566972e-01,3.768762776820869798e-01
5.345603745547806707e-01,3.681687057084181980e-01,2.553688419303234980e-01,2.383585726516495029e-01,3.953827476646433192e-01,1.319846215019956394e-02,1.913255161326035958e-01,1.512119679257803440e-01,4.477176117772352359e-01,1.356885600632666278e-01,2.240264140994104314e-01,3.247519933917543677e-01,4.320500939392435402e-01,1.313809416942285369e-01,5.645760439010254900e-02,8.277373183418750002e-02,3.171576012949739454e-01,-5.300283024836612844e-01,-2.758371179023706432e-01,-5.314957535782722786e-01,-8.698808676029826450e-03,-2.182769019946196321e-01,2.241378333306351112e-01,3.203790781515844510e-01
6.039807478721015421e-01,3.936749785566012738e-01,2.706462522194790776e-01,2.574109979732411846e-01,4.451476927488146051e-01,-6.752886515840962611e-02,1.401891345397993094e-01,5.468926412635667644e-02,4.310353764474810223e-01,1.020150700855451814e-01,2.702484056127969492e-01,3.782507130262576789e-01,2.552835994845830681e-01,1.238497934504264875e-01,9.607042335539894840e-02,1.079441421617034075e-01,1.750433925161780369e-01,-2.627364153768752542e-01,-2.331699958233141301e-01,-4.285664293430369587e-01,-1.606480291225413637e-01,-1.145065416666632002e-01,2.356872108789744846e-01,2.057488494851682503e-01
6.348723133290955500e-01,4.177091606515241362e-01,2.934785542065909691e-01,2.814636822089220392e-01,4.641256848461583484e-01,-8.778301732875395946e-02,9.878695317991177671e-02,-1.871628688150742473e-02,3.832971369569905251e-01,9.090708608069031360e-02,3.172351557933288380e-01,4.043833450071135927e-01,5.155930310216765011e-02,1.162033328284298450e-01,1.309646136260948501e-01,1.319626382073993132e-01,1.392135533489475413e-02,6.543011984401439496e-02,-1.795280339246340950e-01,-3.030699589433044627e-01,-3.149930499143795970e-01,4.551015569094556470e-03,2.311967846341350385e-01,5.180187963608977320e-02
6.247867163938338742e-01,4.398946342226898176e-01,3.223899508851074125e-01,3.097710597335129323e-01,4.513846798066392663e-01,-4.157942293465612810e-02,6.868854780276734129e-02,-6.611286775473729227e-02,3.065209664428601433e-01,1.036997524927317782e-01,3.614320068706146638e-01,3.988837440887015307e-01,-1.494748573080102727e-01,1.045758317610045451e-01,1.563096937138250542e-01,1.495876541014359018e-01,-1.371982416482092626e-01,3.902925807288098459e-01,-1.211804445611691788e-01,-1.710724455122684950e-01,-4.471842833615836676e-01,1.215910447410128020e-01,2.072628999803002303e-01,-1.035094326351468225e-01
5.771813069588463962e-01,4.589498569391960436e-01,3.552422665137005553e-01,3.405370931903837772e-01,4.118134388337307272e-01,6.386458323613095067e-02,5.022887191779692312e-02,-8.768661690993079239e-02,2.072623773527595414e-01,1.382879659607913758e-01,3.986759245491348636e-01,3.654026995075244644e-01,-3.191816833908956430e-01,8.411547507753917852e-02,1.702943524314443902e-01,1.558195347920871277e-01,-2.499838993886263350e-01,6.489692456196095582e-01,-6.405589639768469179e-02,-4.706578914370930511e-02,-5.369225146345942834e-01,2.198577298175162786e-01,1.613948599978651255e-01,-2.232414147805498184e-01
5.007668598625780731e-01,4.726855921139159200e-01,3.897710215370612796e-01,3.711207181390012155e-01,3.554642554081410832e-01,2.109891091483192538e-01,4.266212096392512504e-02,-8.625954288474541043e-02,9.551703341304078332e-02,1.894322772280140066e-01,4.245016087295332974e-01,3.131087143912797410e-01,-4.343282498440967920e-01,5.089525644978371705e-02,1.732074512868201910e-01,1.474513878647407406e-01,-3.019833889591239107e-01,8.031733083808008100e-01,-1.292919753704957313e-02,5.727341142195622320e-02,-5.703201589235232793e-01,2.850602931233307546e-01,9.329149578066439630e-02,-2.907916090443011248e-01
4.080791800069238917e-01,4.783533337765232263e-01,4.238400621314999395e-01,3.985242571454795657e-01,2.958878496657300627e-01,3.773834974406818366e-01,4.443196297114165860e-02,-6.662360802815914251e-02,-1.665333025370403439e-02,2.494186067634305282e-01,4.347238515946164061e-01,2.523941048359027439e-01,-4.802992578693557335e-01,3.462494905475541323e-03,1.657801659179172771e-01,1.242721408778885428e-01,-2.813942871144333724e-01,8.415396867859898933e-01,2.886298538760780422e-02,1.340532582020353136e-01,-5.406675083406460303e-01,3.069848972990225078e-01,6.314865732953762155e-03,-3.089094417844537865e-01
3.135679394840253376e-01,4.732449958112691646e-01,4.553988260754906481e-01,4.200521486574035346e-01,2.476133526797748285e-01,5.403029850341279916e-01,5.344355521580636259e-02,-3.472098731106286473e-02,-1.165821294032904215e-01,3.090068540666053298e-01,4.263212847205179457e-01,1.921109430194008483e-01,-4.527199925265609770e-01,-5.623232958215706317e-02,1.480223776061578012e-01,8.950631150569045291e-02,-1.906706971132523798e-01,7.705686759310667044e-01,5.922872938334328152e-02,1.797135453929945836e-01,-4.486353533113247583e-01,2.807697973417041526e-01,-9.107032857125194059e-02,-2.884807360564081713e-01
2.315001177178618308e-01,4.554033768638275359e-01,4.823026549463143575e-01,4.339577677045178272e-01,2.231545408148868648e-01,6.794942716993935816e-01,6.729460202406285785e-02,3.233934300099253548e-03,-1.924685391008380819e-01,3.585997766503129514e-01,3.985021699106136572e-01,1.387850945190176322e-01,-3.577478715710278312e-01,-1.226698178036286085e-01,1.190276222471792211e-01,4.923346017327533825e-02,-4.726606537179617318e-02,6.079716087678824765e-01,7.719564971014869492e-02,1.950507297095687431e-01,-3.021546496602960930e-01,2.078259409634243826e-01,-1.852675336034548814e-01,-2.411990735612729309e-01
1.739142109933169700e-01,4.242869629908253004e-01,5.021786235169123369e-01,4.398737200174850925e-01,2.303384364745865998e-01,7.791098719767426406e-01,8.351978579456623142e-02,4.158317737782683127e-02,-2.347753733256045527e-01,3.895521758159556369e-01,3.534605417384562576e-01,9.671763467900089395e-02,-2.112907181055553862e-01,-1.873775013980231441e-01,7.756201979411075920e-02,1.084949781931431739e-02,1.205321498409784586e-01,3.797275887252364868e-01,8.317906998023288923e-02,1.847050379134129450e-01,-1.157619344018141899e-01,9.628290699501688976e-02,-2.608770884973622417e-01,-1.775310286655470415e-01
1.488430523427730634e-01,3.812400478806239335e-01,5.124537631189111098e-01,4.388771419545696717e-01,2.709142440287769515e-01,8.291279954866663804e-01,9.991147265878320971e-02,7.590404483300661198e-02,-2.374226429449389497e-01,3.954954665161695138e-01,2.961642245732129530e-01,6.825095760151582425e-02,-3.705581704859632619e-02,-2.402377375622504196e-01,2.303095228782364029e-02,-1.892483117077917512e-02,2.816813728138238271e-01,1.176318666900352944e-01,7.938432750554171025e-02,1.561998149935910629e-01,9.080980696415563713e-02,-3.937674608829042078e-02,-3.065332936203825631e-01,-1.066097157646731242e-01
1.590700596132852696e-01,3.296466807854935288e-01,5.105835871118138414e-01,4.331778786195364384e-01,3.407883950415039886e-01,8.261907901471537974e-01,1.148787771403349117e-01,1.034656576815740636e-01,-1.986225856588649530e-01,3.734707702121670136e-01,2.330769890031391400e-01,5.403276835293266411e-02,1.368695153341580317e-01,-2.713026461902450226e-01,-4.353410891646863901e-02,-3.568934742544425248e-02,4.097091728524535625e-01,-1.441215064818943681e-01,6.967604292932269572e-02,1.187138433988488978e-01,2.947822571611409259e-01,-1.799252990382440576e-01,-3.189451658820668389e-01,-3.623275774156312773e-02
2.017102731589861253e-01,2.746937244329013539e-01,4.944599573175543772e-01,4.255659179646495982e-01,4.313318345635418494e-01,7.736807408061161517e-01,1.276910857872781413e-01,1.234309057279864424e-01,-1.212309067822302938e-01,3.246042261706342802e-01,1.705270421162416172e-01,5.329496678641047758e-02,2.827403674748879547e-01,-2.728317292269124561e-01,-1.186951546604826935e-01,-3.807641146439166846e-02,4.859298583589262144e-01,-3.730172405087298637e-01,5.856528299560077172e-02,8.179606613166738593e-02,4.729552027198557496e-01,-3.043168263738956769e-01,-3.023083768734945997e-01,2.725896142696938862e-02
2.687796739037990323e-01,2.227356722154474333e-01,4.629457078332329112e-01,4.188103162649496336e-01,5.309773491609955931e-01,6.809834361125324254e-01,1.384690524616072616e-01,1.368093088365258114e-01,-1.256273468049027946e-02,2.541120430113191220e-01,1.135485852556960135e-01,6.415135767445728776e-02,3.780627926963828767e-01,-2.411639655162332307e-01,-1.961261652796064126e-01,-2.758966277969266204e-02,4.995547631494631768e-01,-5.421413458906996219e-01,4.985129303700744363e-02,5.417748895484797433e-02,6.043514640015356099e-01,-3.933012903723996923e-01,-2.646909555623905286e-01,7.901558356178246811e-02
3.486383391651443620e-01,1.803396858879429410e-01,4.164752379812060590e-01,4.151341547001128340e-01,6.267449045758308745e-01,5.620419919506498552e-01,1.479489977206136786e-01,1.461867204473171478e-01,1.162802458513204629e-01,1.706035036983173936e-01,6.548300171124188385e-02,8.388298436037450179e-02,4.092116116927202452e-01,-1.779652278923268272e-01,-2.664329864309984974e-01,-8.099296873401157573e-03,4.471918896242068064e-01,-6.332477135787243361e-01,4.584010327071673385e-02,4.272607475109776315e-02,6.723819332362513945e-01,-4.326530024199926050e-01,-2.144723244896573622e-01,1.155189391101048013e-01
4.279563353712934615e-01,1.531801791719328287e-01,3.576581943496589533e-01,4.157899835491809526e-01,7.057032264448862557e-01,4.334188405674812006e-01,1.571823209084653172e-01,1.552572148576514544e-01,2.514372019760773846e-01,8.484868050843240306e-02,2.814850477829909658e-02,1.091790855667109372e-01,3.730051256296380569e-01,-9.042597097041914223e-02,-3.173305974160667842e-01,1.463776134197473065e-02,3.327178716053502683e-01,-6.385868980088865721e-01,4.745056284406546504e-02,5.150490699114262244e-02,6.662037846082619064e-01,-4.152167022554404396e-01,-1.582952188920347392e-01,1.343353745224100670e-01
4.938013505736086883e-01,1.450195147469993395e-01,2.917808342999693161e-01,4.207354066489361055e-01,7.564127955281684246e-01,3.121164509893802896e-01,1.673103421835524518e-01,1.681749000295159058e-01,3.775192404978180427e-01,8.270781572244036497e-03,2.271910044884377713e-03,1.363462409349910087e-01,2.764298488805582155e-01,9.805593641595887131e-03,-3.346186885264908484e-01,3.355104099459804007e-02,1.671021505476096014e-01,-5.615276164525094815e-01,5.475505118517471487e-02,8.092157457746365634e-02,5.815129053564376260e-01,-3.416434702846853910e-01,-1.004058535638448352e-01,1.341174636440877199e-01
5.355311272204750228e-01,1.570184735759303229e-01,2.269392266506763955e-01,4.284599890249183862e-01,7.702741751550904459e-01,2.133664894193239014e-01,1.794408822108441437e-01,1.887554731383053186e-01,4.790351531614432945e-01,-4.860103467922290144e-02,-1.203948912745891886e-02,1.615793022997421280e-01,1.350488177865919737e-01,1.087908157217743893e-01,-3.051453236341082342e-01,4.123836721594336535e-02,-3.244192075317416102e-02,-4.163129110920356646e-01,6.738439450009846288e-02,1.271188164605507875e-01,4.219770408129336348e-01,-2.201070627223902509e-01,-4.282626585076765302e-02,1.152752315545794853e-01
5.462720623744364845e-01,1.875455911751463256e-01,1.732650035722762549e-01,4.360574973472495786e-01,7.426157705234518458e-01,1.485378482715207782e-01,1.945702322908900439e-01,2.196071623003797435e-01,5.423014615423861207e-01,-7.754319704695508686e-02,-1.490825347170061758e-02,1.814385891709860421e-01,-2.948969017289491262e-02,1.930000428718970928e-01,-2.229906551465903886e-01,3.140955860476065536e-02,-2.442153445747970164e-01,-2.270777567398809815e-01,8.457143392507275592e-02,1.819444285705002495e-01,2.027740069329591888e-01,-6.525450181069972211e-02,1.404406627795846615e-02,8.128441126171095932e-02
5.238348654834332763e-01,2.325139325832872583e-01,1.407128114083360249e-01,4.396053579797197242e-01,6.733507109366885235e-01,1.233664360868346188e-01,2.134834650212136253e-01,2.613461470284619281e-01,5.581833349978919667e-01,-7.376661608898527067e-02,-6.442321100806679829e-03,1.935716437139920754e-01,-1.925404074982385028e-01,2.517532257661629358e-01,-9.681647418897704194e-02,4.263814126404499492e-04,-4.445276164754282111e-01,-2.542859087880707317e-02,1.049196255165427139e-01,2.338795399027626121e-01,-4.540656314638800289e-02,1.035802847328376741e-01,7.059890753291334087e-02,3.956168732397680882e-02
4.709803636823290951e-01,2.861206936920262511e-01,1.358774016503903614e-01,4.348155226685287422e-01,5.670976038703772204e-01,1.369016935219560804e-01,2.365964922790491920e-01,3.121093658557096973e-01,5.251095584145590855e-01,-3.661152728637410980e-02,1.332734480474908299e-02,1.974352548967617804e-01,-3.298065673999293623e-01,2.787249339671646897e-01,4.928170913416448501e-02,-5.160432244119970285e-02,-6.104699089679697099e-01,1.543930719741014868e-01,1.260820699229809050e-01,2.700728686226329112e-01,-2.790326736189733814e-01,2.649169376895335049e-01,1.270351738043471179e-01,4.067073131437335667e-04
